mb.docx
0	1111011
231	11111110
207	11111101
24	11111100
99	11111011
8	11111010
199	11111001
247	11111000
255	11110101
251	11110100
223	11110011
1	11110010
82	11110001
16	11110000
227	11101111
56	11101110
235	11101101
158	11101100
243	11101011
239	11101010
142	11101001
115	11101000
140	11100111
32	11100110
254	11100101
198	11100100
253	11100011
127	11100010
48	11100001
215	11100000
73	11011111
63	11011110
74	11011101
113	11011100
191	11011011
28	11011010
173	11011001
4	11011000
245	11010111
165	11010110
128	11010101
252	11010100
159	11010011
219	11010010
125	11010001
148	11010000
49	11001111
60	11001101
36	11001110
181	11001100
249	11001011
2	11001010
31	11001001
190	11001000
3	11000111
126	11000110
237	11000101
12	11000100
40	11000011
20	11000010
192	11000001
250	11000000
97	10111111
175	10111110
7	10111101
156	10111100
41	10111011
103	10111010
33	10111001
123	10111000
211	10110110
132	10110111
121	10110101
101	10110100
90	10110011
206	10110010
214	10110001
57	10110000
105	10101111
248	10101110
187	10101101
146	10101100
72	10101011
61	10101010
189	10101001
246	10101000
66	10100111
62	10100110
221	10100101
183	10100100
122	10100011
233	10100010
109	10100001
65	10100000
149	10011111
143	10011110
203	10011101
15	10011100
224	10011011
64	10011010
179	10011001
118	10011000
164	10010111
112	10010110
50	10010101
44	10010100
185	10010011
107	10010010
177	10010001
95	10010000
244	10001111
167	10001110
102	10001101
108	10001011
110	10001100
6	10001010
111	10001001
117	10001000
81	10000111
240	10000110
92	10000100
174	10000101
150	10000011
96	10000010
52	10000001
79	10000000
129	01111111
210	01111110
169	01111101
51	01111100
141	01111011
58	01111010
147	01111001
94	01111000
86	01110111
229	01110110
182	01110101
241	01110100
54	01110011
171	01110010
119	01110001
138	01110000
104	01101111
163	01101110
35	01101101
238	01101100
25	01101011
124	01101010
89	01101001
30	01101000
131	01100111
68	01100110
230	01100101
222	01100100
116	01100011
242	01100010
88	01100001
70	01100000
217	01011111
153	01011110
114	01011101
195	01011100
157	01011011
71	01011010
39	01011001
130	01011000
218	01010111
204	01010110
134	01010101
42	01010100
172	01010011
154	01010010
29	01010001
135	01001111
84	01010000
27	01001110
205	01001101
166	01001011
144	01001100
213	01001010
17	01001001
59	01001000
180	01000110
145	01000111
100	01000101
47	01000100
46	01000011
184	01000010
151	01000001
216	01000000
78	00111110
194	00111111
236	00111101
34	00111100
120	00111011
106	00111010
197	00111001
178	00111000
5	00110111
220	00110110
137	00110101
18	00110100
55	00110011
202	00110010
155	00110001
14	00110000
193	00101111
186	00101110
133	00101101
98	00101100
93	00101011
83	00101010
11	00101001
225	00101000
43	00100111
77	00100110
69	00100101
152	00100100
226	00100011
67	00100010
23	00100001
228	00100000
76	00011110
10	00011111
9	00011101
200	00011100
160	00011011
208	00011010
38	00011001
91	00011000
201	00010111
37	00010110
188	00010101
162	00010100
75	00010011
87	00010010
161	00010001
19	00010000
196	00001111
176	00001110
209	00001101
26	00001100
22	00001011
136	00001010
234	00001001
80	00001000
139	00000111
232	00000110
53	00000101
21	00000100
85	00000011
45	00000010
13	00000001
212	00000000
168	111111111
170	111111110
